name,role_raw,n_mentions,n_docs
Mauricio MACRI,argentinský prezident,7,7
Stanislav LHOTA,zoolog,7,1
Petr HRADECKÝ,vulkanolog geolog,7,1
Donald TRUMP,zvolený prezident,7,4
Kovy KOVÁŘ,youtuber,7,1
Václav BAŽANT,dendrolog katedra ekologie lesa,7,1
Joko WIDODO,indonéský prezident,7,3
Jan TRNKA,lékař biochemik,7,1
Pavel KINDLMANN,populační ekolog,6,1
Petr MIŇOVSKÝ,podplukovník ve výslužbě,6,1
Carl SAFINA,mořský biolog,6,2
Filip REMUNDA,dramaturg,6,1
Milan ŠAFÁŘ,sportovní psycholog,6,1
Jarmila RÁŽOVÁ,hlavní hygienička,6,1
Lukáš KREJČÍ,horolezec a horský průvodce,6,1
David SVOBODA,ukrajinista,6,1
Wolfgang ISCHINGER,organizátor konference,6,3
Petr KAMBERSKÝ,šéfkomentátor,6,1
Karel MATĚJKA,botanik ekolog,6,1
Šárka CIMALOVÁ,botanička,6,2
Greta THUNBERGOVÁ,enviromentální aktivistka,6,4
Tim JARVIS,badatel,6,3
Charlie VERON,mořský biolog,6,1
Arif TURHAN,potápěč,6,3
Tomáš HALÍK,teolog filozof držitel,6,1
Josef ŠTULC,památkář,6,1
Petra JELÍNKOVÁ,překladatelka aktivistka hnutí,6,1
Petteri TAALAS,generální tajemník,6,6
Radim POLČÁK,prorektor pro rozvoj legislativu a,6,1
Conie HADEGAARDOVÁ,eurokomisařka pro klima,6,1
Matyáš CHOCHOLA,vizuální umělec,5,2
Joe BIDEN,nově zvolený prezident,5,4
Tomáš PFEILER,portfolio manažer,5,1
Tomáš POSPÍŠIL,pověřený řízením,5,1
Josef VOJÁČEK,nový generální ředitel,5,1
Judita PETRŽELKOVÁ,primatoložka,5,1
Thomas KULIDAKIS,spolupracovník,5,2
Joe BIDEN,demokratický kandidát na prezidenta,5,4
Michal HORSÁK,zoolog,5,1
Greta THUNBERGOVÁ,klimatická aktivistka,5,5
Jaroslav DOLEŽAL,rostlinný genetik,5,2
Ivan ŠTAMPACH,religionista,5,1
Elena KOHÚTIKOVÁ,bývalá viceguvernérka,5,1
Daniel KOLSKÝ,kavárník,5,1
Tomáš LETOCHA,ovocnář,5,3
Emrah ARIEL,rybář,5,3
Radka DENEMARKOVÁ,spisovatelka a překladatelka,5,1
Alois MÍKA,energetický expert,5,1
Zdeněk KUKAL,oceánolog,5,1
Vít HAVELKA,výzkumný pracovník,5,1
Volodymyr ZELENSKYJ,ukrajinský prezident,5,4
Konference OSN,o změnách klimatu,5,5
Ivo POKORNÝ,ovocnář,5,2
Miloš VYSTRČIL,senátní výbor pro územní rozvoj,5,1
Mitt ROMNEY,republikánský kandidát na prezidenta,5,3
Jens STOLTENBERG,generální tajemník,5,5
Bernie SANDERS,demokratický kandidát na prezidenta,5,5
Danuše VYMĚTALOVÁ,spolumajitelka biofarmy,5,1
Martin MYKISKA,cestovatel a spisovatel,4,1
Václav BAŽANT,dendrolog,4,1
Luca PARMITANO,italský astronaut,4,2
Jiří DAVID,vizuální umělec iniciátor protestu,4,2
David HOLLAND,oceánolog a vědec,4,1
Daniel POUAKOUYOU,oblastní poradce program životního prostředí,4,2
Karel KLEM,ekofyziolog,4,1
Bikram SHERESTHA,zoolog,4,1
Martin MOŽNÝ,agrometeorolog klimatolog,4,1
Konference OSN,o klimatu,4,4
Der LEYENOVÁ,budoucí předsedkyně,4,2
Adam SUCHÝ,klinický psycholog,4,2
Ivan BARTOŠ,krajinný ekolog,4,2
Wu CHAO,generální ředitel,4,2
Věra JOUROVÁ,eurokomisařka pro spravedlnost,4,1
Václav ŠVAMBERK,včelař,4,1
Ondřej KLIMEŠ,synolog,4,1
Jan MUSIL,místopředstavenstva,4,1
Olga CIESLAROVÁ,organizátorka akce iniciativa,4,2
Dudley WIGDAHL,kurátor,4,2
Victorien ERUSSARD,kapitán lodi,4,1
Barbora VESELÁ,rostlinná fyzioložka,4,1
Jan PALAŠČÁK,podnikatel,4,1
Alicja KNASTOVÁ,generální ředitelka,4,2
André BORSCHBERG,pilot letounu,4,2
Lumír DOBROVOLNÝ,lesník,4,2
Irena CHLEBOUNOVÁ,středoškolská profesorka,4,2
Jaroslav STAIMACHER,technik,4,1
Jaroslav STALMACHER,technik,4,1
Naděžda JOHANISOVÁ,environmentalistka,4,1
Paul THOMAS,autor studie výzkumník,4,2
Josef JAŘAB,amerikanista literární vědec,4,1
John KERRY,zmocněnec,4,4
Jakub FINGER,zahradní architekt,4,2
Petr DOUBRAVSKÝ,organizátor protestu,4,2
David ATTENBOROUGH,dokumentarista,4,2
Steve BACHMAN,botanik,4,2
Stephen COOK,entomolog,4,4
Jiří PONDĚLÍČEK,amerikanista,4,2
Summit OSN,svolal generální tajemník organizace,4,4
Jiří NOHEL,lesní správce,4,1
Jude WALKER,jedenáctiletý aktivista,4,2
Michael BLOOMBERG,zvolený starosta,4,1
Stanislav ŠIMÍČEK,místostarosta,4,2
Bertrand PICCARD,pilot,3,3
Jakub LEPŠ,amerikanista,3,1
Ondřej KOBZA,kavárník,3,1
Kateřina JANOUCH,spisovatelka,3,1
Michal VELIČKA,marketingový manažer,3,2
Jodi SAUNDERSOVÁ,operátorka rypadla,3,1
Joe MANCHIN,demokratický senátor,3,3
Josef BULKA,hlavní dispečer zimní údržby,3,1
Clint BRADLEY,hasič,3,3
Daniel SZÓRÁD,bývalý generální ředitel,3,3
Simon MAY,hasič,3,3
Vladimir BARBIN,zvláštní zmocněnec ruského ministerstva zahraničí,3,3
Barbora PAFČO,parazitoložka,3,1
Jan BARTOŠ,rostlinný genetik,3,1
Ulrike CRESPOVÁ,turistka z,3,3
Stanislav KOZLÍK,vinař předseda,3,1
Christophe DELACHAT,horský průvodce,3,3
Tomáš ŘÍHA,organizátor protestu,3,3
Rainer EPPELMANN,bývalý disident,3,1
Janine JONESOVÁ,účastnice oslav inaugurace,3,3
Jakub KULHÁNEK,český ministr zahraničí,3,1
Nicole LUDWIG,spolupracovnice,3,1
Nikol PAŠINJAN,arménský premiér,3,3
Nick GRAHAM,mořský ekolog,3,1
Dominika POSPÍŠILOVÁ,tiskové oddělení ministerstva životního prostředí,3,1
Martin HANEL,proděkan,3,3
Zuzana ŽÁČKOVÁ,pečovatelka,3,1
Ondřej HORKÝ HLUCHÁŇ,výzkumný pracovník,3,1
Olaf SCHOLZ,německý kancléř,3,2
Jan HURT,generální ředitel,3,1
Ismail YILDIZ,hoteliér,3,3
Šárka SIMALOVÁ,botanička,3,1
Zdeněk VACEK,autor výzkumu klíšťat,3,1
Alexandr SOKOLOV,badatel,3,1
Jair BOLSONARO,brazilský prezident,3,3
Jaime RICHARDSOVÁ,strážkyně,3,3
Petr STRNADEL,uživatel uhelného kotle,3,1
Vít HAVELKA,výkonný pracovník,3,1
Pavlína MIKULKOVÁ,odborná pracovnice institut,3,1
Oldřich MIKULICA,fotograf a ornitolog,3,1
Miroslav HORÁK,malovinař,3,1
Vladimír KRATOCHVÍL,agronom,3,2
Jair BOSLONARO,nový brazilský prezident,3,1
Stacey MULLEROVÁ,operátorka rypadla,3,1
Kevin BALES,právník,3,1
David GARDÁŠ,sinolog spolupracovník projektu,3,1
Bent JAKOBSEN,horník,3,1
Anna ZÁDRAPOVÁ,sinoložka,3,1
Lenka LAUS,delegátka,3,1
Anja FJALLGRENOVÁ,chovatelka sobů a expertka na,3,1
Aziz MEKOUAR,hlavní vyjednavač klimatické konference,3,3
Jim SKEA,spolupředseda pracovní skupiny,3,3
Filip WATTEEUW,místostarosta,3,1
Petr MODLITBA,malíř a ilustrátor,3,1
Fallon HOVERSONOVÁ,operátorka techniky,3,1
Federica MOGHERINIOVÁ,šéfka evropské diplomacie,3,3
Filip HARTVICH,geomorfolog,3,1
Klaus SCHWAB,organizátor,3,3
Paní HOLÁ,divačka z publika,3,1
Jerzy DEMSKI,odborový předák,3,2
Josef PULÍČEK,spolumajitel,3,1
Josef PÁNEK,spisovatel,3,2
Tomáš DAVID,generální ředitel,3,1
George DOWDLE,pěstitel ústřic,3,1
Petr KRATOCHVÍL,pražský,3,1
Claude TURMES,lucemburský ministr životního prostředí,3,3
Summit OSN,o klimatu,3,3
Michael WEHINGTON,doktorand,3,1
Michal BUREŠ,vinař,3,1
Tomáš KOLÁŘ,dendrochronolog,3,1
Miloš JAHODA,kapitán lodě,3,3
David RATH,nepravomocně odsouzený,3,1
Aram RADOMSKI,disident,3,1
Deana KOLENČÍKOVÁ,umělkyně,3,1
Konference OSN,o klimatických změnách,3,3
Martin VEČEŘA,hlavní autor studie,3,1
Jiří GRODA,zastupující ředitel lesního a vodního,3,1
Programu OSN,pro životní prostředí,3,2
Laura DILLEYOVÁ,bezpečnostní technička,3,1
Angela MERKELOVÁ,nemecká kancelárka,3,3
Odsuren BUUVEIBAATAR,nezisková organizace,2,1
Edward KING,geofyzik,2,1
Raylene BROWNOVÁ,kuchařka,2,1
Jan SOUKUP,obchodník,2,1
Radek ORT,provozní,2,1
Jan VOPRAVIL,půdoznalec,2,1
Radovan SRBA,obchodní ředitel,2,1
Radovan KVAPIL,stavbyvedoucí,2,1
Radoslav NĚMEC,botanik,2,1
Jan SVOBODA,lesník,2,1
Thon THAMRONGNAWASAWAT,mořský biolog,2,2
Olaf SCHOLZ,kancléřský kandidát,2,1
John MCCAIN,republikánský senátor,2,2
Michal ANDELEK,projektový manažer,2,2
Tereza PROKOPOVÁ,parazitoložka,2,1
Chuck SCHUMER,demokratický senátor,2,2
Christina KOCHOVÁ,americká astronautka,2,2
Michal JARRAUD,generální tajemník,2,2
Josef LÉTAL,obec,2,1
Michal VAŇÁČ,tiskový mluvčí,2,1
Michel BARNIER,vyjednavač,2,2
John ENTSMINGER,generální manažer vodohospodářského úřadu,2,2
Joe BIDEN,zvolený americký prezident,2,2
Joe BIDEN,zvolený prezident,2,2
Olga ŠKOPKOVÁ,alergoložka,2,1
Donald TUSK,končící předseda,2,1
Joe WILLIAMS,průvodce brightonské akvárium,2,1
Miloš URBAN,spisovatel,2,1
Jim CLARK,horozelec,2,2
Princ CHARLES,nástupce britského trůnu,2,1
Philippe WAECHTER,vrchní ekonom,2,2
Jan POHL,technik,2,1
Petr ZAJÍC,portfolio manažer,2,1
Pradipta BARUAH,správce parku,2,2
Jindřich MACHALA,kronikář,2,1
David ČERNÝ,výtvarník zdroj,2,1
Fabien MOREAU,vinař,2,1
Ema OSTŘÍŽKOVÁ,spoluorganizátorka akce,2,2
Podle OSN,už před válkou uprchlo do,2,1
Milan CAIS,výtvarník a hudebník,2,1
Petra RAJSNEROVÁ,pracovnice,2,2
Oliver STEEDS,výzkumný ústav,2,1
Zuzana ŠEBELÍKOVÁ,hlavní vychovatelka,2,1
Ústavní SOUD,rozhodnutí,2,1
Lukáš RYCHTECKÝ,kastelán zámku,2,1
Členové KDU ČSL,na sjezdu zvolí své nové,2,2
Šéf OSN,je ovšem i nadále velmi,2,2
Zdeněk VACEK,designér šperků,2,1
Marcel RAYNAUD,chovatel závodních býků,2,1
Jan SAUDEK,fotograf,2,1
Aleš VAVŘINA,rybníkářství,2,1
Ochirtogtoh TSEDENORGIH,pastevec,2,2
Eva JENÍKOVÁ,krajinářský architekt,2,1
Petr ŠLEGR,dopravní konzultant,2,1
Dale MCLEAN,hasič,2,2
Saša ŠTŘELCOVÁ,iniciativa,2,1
Petr MARADA,vinař,2,1
Dana VÉBROVÁ,lesnice,2,1
Patrick MALONEY,demokratický kongresman rodinný přítel,2,2
Ferdinand DUDENH FFER,automobilový expert,2,2
Franziska WESSELOVÁ,organizátorka protestů,2,1
Fred SPOOR,paleontolog,2,2
Patrick MALONEY,demokratický kongresman přítel,2,2
Gaelle DAHERON,vinařství,2,2
Galerie PLATO,osidluje nové prostory postupně,2,2
Petr HRADECKÝ,trenér,2,2
González IŇÁRRITU,režisér,2,2
Mnatsi MARAU,nový vyznavač veganství,2,2
Jan BUKOVSKÝ,tiskový mluvčí,2,2
Dalia GRYBAUSKAITÉOVÁ,litevská prezidentka,2,2
Steve CARMEL,účastník demonstrace,2,2
Steve HUGS,pracovník genové banky australských pastvin,2,1
Siračaj ARUNRUGSTIČAJ,mořský biolog,2,2
Sophie BACKSENOVÁ,stěžovatelka,2,2
Stefano VIANELLO,restaurátor,2,1
Soňa VALUCHOVÁ,odborná pracovnice institut,2,1
Jiří HUML,provozní ředitel,2,1
Milan DVOŘÁK,rusista,2,1
Milan GRYNDLER,mykolog,2,2
Daniel BENEŠ,generální ředitel a předseda představenstva,2,2
Jerry BROWN,kalifornský guvernér,2,2
Jan BLAHŮT,geomorfolog,2,1
Michaela BABIŠOVÁ,účastnice stávky,2,2
Michaela MLÝNKOVÁ,učitelka,2,1
Clive PALMER,stavitel,2,1
Tim LANG,spoluautor studie,2,2
Tomáš NEČAS,kurátor kolekce meruněk,2,1
Tomáš PFEILEF,portfolio manažer,2,1
Chris COCKEL,manažel sběru semen,2,1
Tomáš CZERNIN,nově zvolený,2,1
Josef SEJÁK,enviromentální ekonom člen,2,1
Josef PROCHÁZKA,podnikatel zemědělský hospodář,2,1
Michal DOŠEK,oddělení výzkumu a vývoje,2,1
Michal JAKOUBEK,pěstitel,2,1
Michaela SCH NOVÁ,turistka,2,1
Daisy JEFFREYOVÁ,demonstrantka,2,2
Michael KARISCH,turista z,2,2
Michael NEČAS,statik,2,2
Michael PROVENCHER,evakuovaný z,2,1
Ting JIN CHUA,pastýřka,2,2
Christian KERN,rakouský kancléř,2,2
Jan FOUSEK,obchodní ředitel,2,1
Jose HIDALDO,ochránce přírody,2,1
Jiří MÍKA,organizátor petice,2,1
Dany KOLSKÝ,kavárník a obchodník s kávou,2,2
Milan POLEDNÍK,demograf,2,1
Serkan COSKUN,rybář,2,2
Dave ZANIVONI,kapitán hasičské jednotky v okrese,2,2
David HACKENBERG,včelař místopředseda včelař,2,1
Joquín ROA,paraguayský ministr pro národní bezpečnost,2,2
Tomáš DANĚK,environmentalista,2,2
Karel BŘEZINA,dispečer,2,1
Ivo PAVLÍK,proděkan,2,1
Ladislav TŘEŠTÍK,myslivec,2,1
Bořek SVOBODA,vinař,2,1
Mauricio MACRI,argeninský prezident,2,1
Kamil PARUCH,hlavní řešitel projektu,2,1
Šéf OSN,o dopadu pandemie,2,2
Petr KORHON,obchodník,2,1
Marek LAHODA,doktorský student fyzické geografie,2,1
Melinda GATESOVÁ,manželka,2,2
Tomáš RENDLA,správce stopy,2,1
Kullawit LIMČULARAT,mořský biolog,2,2
Ko BARRETOVÁ,spolupředsedkyně,2,2
Tomáš MYSLÍKOVJAN,lesník,2,1
Jacinda ARDERNOVÁ,novozélandská premiérka,2,2
Vladimír JANATA,autor projektu statik,2,2
Linda DOSTÁLKOVÁ,kurátorka,2,2
Kromě USA,dohodu odmítají už jenom,2,2
Arias CANETE,eurokomisař pro energetiku a ochranu,2,2
Arnold SCHWARZENEGGER,bývalý kalifornský guvernér,2,2
Audun SALTE,chovatel psů,2,1
Vojtěch SALAJKA,vinař,2,1
Peter KEREKES,režisér,2,1
Henry STRASEN,velitel zásahu,2,1
Vojtěch ADAM,tehdejší i současný jihomoravský lídr,2,2
Payal PAREKHOVÁ,demonstrantka,2,2
Tomáš MED,architekt,2,1
Petr BIRKLEN,environmentální expert,2,1
Petr BROŽ,planetolog,2,1
Petr BUŽA,vinař,2,1
Vasilij ROGATYČ,škola námořní plavby,2,2
Al SHARPTON,reverend aktivista poradce prezidenta,2,2
Akgun ILHANOVÁ,hydroložka,2,1
Pavel STOPKA,zoolog,2,2
Petr BIRKLEN,enviromentální expert,2,1
George DURNER,spoluautor studie publikované v časopise,2,1
Chloe POZASOVÁ,projektová manažerka,2,1
Uwe MARTH,včelař z berlínské katedrály,2,2
Markus REX,velitel expedice,2,1
Mariusz MAJ,horník,2,2
Laetitia HEDOUINOVÁ,francouzské,2,1
Matyáš ŠANDA,autor projektu,2,2
Bohuslav JANDÁČEK,návštěvník,2,1
Mark FAHERTY,záchranná stanice ve,2,1
Joseph CHRISTIAN,osoba,2,1
Martin SIEGERT,pedagog,2,1
Mette FREDRIKSENOVÁ,dánská premiérka,2,2
Aaron DAVIS,botanik,2,1
Tomáš TUHÝ,policejní prezident,2,2
Lukáš KUNST,kastelán hradu,2,1
Lukáš KOVÁR,porybný,2,1
Toni DOHERTYOVÁ,zachránkyně koaly,2,1
Martina HÁJKOVÁ,spoluautorka výzkumu,2,1
Martin HAVLÍČEK,veterinář žijící v,2,1
Gregory DEBRUYNE,rybář z,2,1
Jair BOLSONARO,brazílsky prezident,2,2
Andy RIVKIN,planetární astronom,2,1
Malu DREYEROVÁ,úřadující premiérka v,2,2
Bernie SANDERS,uchazeč demokratů o prezid,2,2
Marek SLÁMA,skladník,2,1
Lolepo TETILE,honák,2,2
Richard FRANC,velitel jednotky českých hasičů,2,1
Richard NETOPIL,lesní dělník,2,1
Rita UEDA,hudební skladatelka,2,1
Robert KIML,generální ředitel,2,1
Jaroslav DOLEŽEL,rostlinný genetik,2,1
Monika HERTLOVÁ,projekt na čištění moře,2,1
Sammie APLINOVÁ,zdravotní sestra,2,1
Pekarová ADAMOVÁ,nově zvolená předsedkyně strany poslankyně,2,1
Ewa BIEŇKOWSKÁ,pracovnice zahradnictví,2,1
Janet REDMANOVÁ,washingtonský,2,2
Jarmila BARTÁKOVÁ,učitelka,2,1
Der LEYENOVÁ,budoucí šéfka,2,1
František JEMELKA,tiskový mluvčí,2,2
Jan ŠVEJNAR,think tank,2,1
Salik HARD,grónská turistická organizace,2,2
Sally DAVIESOVÁ,šéfka státního zdravotního ústavu pro,2,1
Mitch MCCONNELL,republikánský senátor,2,2
Roman KOBLÁSA,produktový manažer,2,1
Sebastian KURZ,rakouský kancléř,2,2
Deb MCLAUGHLINOVÁ,včelařka,2,1
Jiří GAVOR,energetický analytik,2,2
Ewa BIE KOWSKÁ,pracovnice zahradnictví,2,1
Konference OSN,o klimatu v polských,2,1
Anthony COSTELLO,obor udržitelného rozvoje,2,1
Penny SHARPEOVÁ,stínová ministryně životního prostředí,2,1
Klaus IOHANNIS,rumunský prezident hostitel summitu,2,2
Barbora LOSKOTOVÁ,hydrobioložka,2,1
Vítězslav KREMLÍK,klimaskeptik,2,1
Kreta KAINGANG,vůdce domorodého kmene v,2,2
Igor GIRKIN STRELKOV,ruský nacionalista předák separatistů,2,1
Valentin LEVKOVSKIJ,psovod,2,1
Martin ŠRÁMEK,výzkumný pracovník,2,1
Karel ŠÍMA,pošťák,2,1
Karolína BAUEROVÁ,účastnice protestu v,2,2
Henrique PERREIRA,obchodník z,2,2
Blanka KOTRLOVÁ,místostarostka,2,2
Petr DIFKO,chovatel korýšů,2,1
Manfred MANNHEIM,rybář,2,2
James KIMARU,strážce,2,1
Marika KUPKOVÁ,kurátorka,2,1
Marilyn BRANDTOVÁ,mořská bioložka,2,1
Hervé GARNIER,technik obyvatel,2,2
Bertrand PICCARD,pilot spoluautor letounu,2,2
Ivan RYNDA,sociální a kulturní ekolog katedra,2,1
Hillary CLINTONOVÁ,uchazečka demokratů o prezid,2,2
Hillary CLINTONOVÁ,demokratická kandidátka na prezidentku,2,2
Pavel ŠAMONIL,dendrochronologická laboratoř,2,1
Viktorie TENZEROVÁ,organizátorka festivalu,2,1
Peter BOORMAN,astrofyzik,2,1
Samotná CDU,a kancléřka také řeší svou,1,1
Schillerová ANO,plánuje že recidivu pachatelů omezí,1,1
Schillerová ANO,a sociální demokracie v programovém,1,1
Sarah BIRKBYOVÁ,protestující,1,1
Salome MATANGI,demonstrant v,1,1
Samuel WILKIE,demonstrant,1,1
Samotné ČSSD,a samotní představitelé kteří tam,1,1
Saleemul HUQ,vyjednavač z,1,1
Sakshi GADUROVÁ,indická dívka,1,1
Sajed NOMAN,prodavač textilu,1,1
Sadiq KHAN,labouristický starosta,1,1
Ryan MOWAT,mořský vědec,1,1
Sam MAXEY,nový vyznavač veganství,1,1
David HANSLIAN,autor studie,1,1
David HANSLIAN,ústav fyziky atmosféry,1,1
David BOREK,blízkovýchodní zpravodaj,1,1
David CAMERON,britský konzervativní premiér,1,1
Senátoři STAN,se obrátili na,1,1
Scott LONG,krizové řídící centrum,1,1
Sdružení SOVAK,zastupuje jak vlastníky tak provozovatele,1,1
Sea IS,dnes vlnění,1,1
Schan SU ŤIJ,barmská státní poradkyně ministryně zahraničí,1,1
Sergej ABANIN,ruské ministerstvo pro mimořádné události,1,1
Sebastián PINERA,chilský prezident,1,1
Sekretariát OSN,na moči provádí nemám pravomoci,1,1
David MICHALČÁK,pokrývač,1,1
Sepp RIESER,pastevec,1,1
Dav OK,ty například jsme přece je,1,1
Dave BOOKSA,popelář,1,1
Deborah MASHIBINIOVÁ PRIOROVÁ,volička,1,1
David SNIDER,kapitán ledoborce,1,1
Severovýchod USA,čeká přívaly sněhu,1,1
