name,role_raw,type_llm
Jan TRNKA,lékař biochemik,M3
Radim POLČÁK,prorektor pro rozvoj legislativu a,M6
Milan ŠAFÁŘ,sportovní psycholog,M3
Wolfgang ISCHINGER,organizátor konference,M5
David SVOBODA,ukrajinista,M3
Jarmila RÁŽOVÁ,hlavní hygienička,M6
Petr MIŇOVSKÝ,podplukovník ve výslužbě,M1
Petr KAMBERSKÝ,šéfkomentátor,M1
Pavel KINDLMANN,populační ekolog,M3
Greta THUNBERGOVÁ,enviromentální aktivistka,M5
Conie HADEGAARDOVÁ,eurokomisařka pro klima,M6
Tim JARVIS,badatel,M3
Arif TURHAN,potápěč,M2
Tomáš HALÍK,teolog filozof držitel,M3
Josef ŠTULC,památkář,M5
Petra JELÍNKOVÁ,překladatelka aktivistka hnutí,M5
Elena KOHÚTIKOVÁ,bývalá viceguvernérka,M6
Matyáš CHOCHOLA,vizuální umělec,M2
Tomáš LETOCHA,ovocnář,M2
Judita PETRŽELKOVÁ,primatoložka,M3
Tomáš POSPÍŠIL,pověřený řízením,M6
Tomáš PFEILER,portfolio manažer,M5
Daniel KOLSKÝ,kavárník,M2
Joe BIDEN,nově zvolený prezident,M6
Danuše VYMĚTALOVÁ,spolumajitelka biofarmy,M2
Miloš VYSTRČIL,senátní výbor pro územní rozvoj,M6
Ivo POKORNÝ,ovocnář,M2
Konference OSN,o změnách klimatu,SKIP
Volodymyr ZELENSKYJ,ukrajinský prezident,M6
Zdeněk KUKAL,oceánolog,M3
Ivan ŠTAMPACH,religionista,M3
Daniel POUAKOUYOU,oblastní poradce program životního prostředí,M5
David HOLLAND,oceánolog a vědec,M3
Jiří DAVID,vizuální umělec iniciátor protestu,M2
Luca PARMITANO,italský astronaut,SKIP
Konference OSN,o klimatu,M3
Martin MOŽNÝ,agrometeorolog klimatolog,M6
Der LEYENOVÁ,budoucí předsedkyně,M3
Adam SUCHÝ,klinický psycholog,M6
Ivan BARTOŠ,krajinný ekolog,M3
Věra JOUROVÁ,eurokomisařka pro spravedlnost,M2
Václav ŠVAMBERK,včelař,M3
Ondřej KLIMEŠ,synolog,M5
Jan MUSIL,místopředstavenstva,M5
Olga CIESLAROVÁ,organizátorka akce iniciativa,M3
Barbora VESELÁ,rostlinná fyzioložka,M3
Karel KLEM,ekofyziolog,M5
Jan PALAŠČÁK,podnikatel,M2
Irena CHLEBOUNOVÁ,středoškolská profesorka,M5
Naděžda JOHANISOVÁ,environmentalistka,M3
Paul THOMAS,autor studie výzkumník,M3
Josef JAŘAB,amerikanista literární vědec,M3
Michael BLOOMBERG,zvolený starosta,M6
Jude WALKER,jedenáctiletý aktivista,M2
Jiří NOHEL,lesní správce,M5
Summit OSN,svolal generální tajemník organizace,SKIP
Jiří PONDĚLÍČEK,amerikanista,M3
David ATTENBOROUGH,dokumentarista,M1
Petr DOUBRAVSKÝ,organizátor protestu,M5
Jakub FINGER,zahradní architekt,M5
Victorien ERUSSARD,kapitán lodi,M2
Martin VEČEŘA,hlavní autor studie,M3
Michal VELIČKA,marketingový manažer,M5
Jodi SAUNDERSOVÁ,operátorka rypadla,M2
Josef BULKA,hlavní dispečer zimní údržby,M5
Barbora PAFČO,parazitoložka,M3
Christophe DELACHAT,horský průvodce,M2
Tomáš ŘÍHA,organizátor protestu,M5
Josef PULÍČEK,spolumajitel,M5
George DOWDLE,pěstitel ústřic,M2
Jakub LEPŠ,amerikanista,M3
Ondřej KOBZA,kavárník,M2
Rainer EPPELMANN,bývalý disident,M2
Pavlína MIKULKOVÁ,odborná pracovnice institut,M3
Petr STRNADEL,uživatel uhelného kotle,M2
Jakub KULHÁNEK,český ministr zahraničí,M6
Alexandr SOKOLOV,badatel,M3
Zdeněk VACEK,autor výzkumu klíšťat,M3
Ismail YILDIZ,hoteliér,M5
Oldřich MIKULICA,fotograf a ornitolog,M3
Zuzana ŽÁČKOVÁ,pečovatelka,M2
Dominika POSPÍŠILOVÁ,tiskové oddělení ministerstva životního prostředí,M1
Nikol PAŠINJAN,arménský premiér,M6
Claude TURMES,lucemburský ministr životního prostředí,M6
Petr KRATOCHVÍL,pražský,SKIP
Jaime RICHARDSOVÁ,strážkyně,M2
Klaus SCHWAB,organizátor,M5
Filip HARTVICH,geomorfolog,M3
Federica MOGHERINIOVÁ,šéfka evropské diplomacie,M6
Fallon HOVERSONOVÁ,operátorka techniky,SKIP
Petr MODLITBA,malíř a ilustrátor,M2
Jim SKEA,spolupředseda pracovní skupiny,M3
Aziz MEKOUAR,hlavní vyjednavač klimatické konference,M6
Jerzy DEMSKI,odborový předák,M5
Anna ZÁDRAPOVÁ,sinoložka,M3
David GARDÁŠ,sinolog spolupracovník projektu,M3
Kevin BALES,právník,M5
Stacey MULLEROVÁ,operátorka rypadla,SKIP
Summit OSN,o klimatu,SKIP
Tomáš KOLÁŘ,dendrochronolog,M3
Miloš JAHODA,kapitán lodě,M2
David RATH,nepravomocně odsouzený,M2
Aram RADOMSKI,disident,M2
Deana KOLENČÍKOVÁ,umělkyně,M2
Konference OSN,o klimatických změnách,SKIP
Jiří GRODA,zastupující ředitel lesního a vodního,M5
Programu OSN,pro životní prostředí,SKIP
Angela MERKELOVÁ,nemecká kancelárka,M6
Anja FJALLGRENOVÁ,chovatelka sobů a expertka na,M3
Miroslav HORÁK,malovinař,M2
Jan SAUDEK,fotograf,M2
Ochirtogtoh TSEDENORGIH,pastevec,M2
Eva JENÍKOVÁ,krajinářský architekt,M3
Olga ŠKOPKOVÁ,alergoložka,M3
Donald TUSK,končící předseda,M6
Radovan KVAPIL,stavbyvedoucí,M2
Jan VOPRAVIL,půdoznalec,M3
Radek ORT,provozní,M2
Jan SOUKUP,obchodník,M2
Raylene BROWNOVÁ,kuchařka,M2
Edward KING,geofyzik,M3
Odsuren BUUVEIBAATAR,nezisková organizace,M5
Olaf SCHOLZ,kancléřský kandidát,M6
Tereza PROKOPOVÁ,parazitoložka,M3
Christina KOCHOVÁ,americká astronautka,M2
Josef LÉTAL,obec,M6
Joe BIDEN,zvolený americký prezident,M6
Aleš VAVŘINA,rybníkářství,M2
Mnatsi MARAU,nový vyznavač veganství,M4
Princ CHARLES,nástupce britského trůnu,M6
Philippe WAECHTER,vrchní ekonom,M5
Petr ZAJÍC,portfolio manažer,M5
Pradipta BARUAH,správce parku,M5
Jindřich MACHALA,kronikář,M1
David ČERNÝ,výtvarník zdroj,M2
Ema OSTŘÍŽKOVÁ,spoluorganizátorka akce,M5
Michel BARNIER,vyjednavač,M6
Petr ŠLEGR,dopravní konzultant,M5
Oliver STEEDS,výzkumný ústav,M5
Zuzana ŠEBELÍKOVÁ,hlavní vychovatelka,M5
Ústavní SOUD,rozhodnutí,SKIP
Lukáš RYCHTECKÝ,kastelán zámku,M2
Členové KDU ČSL,na sjezdu zvolí své nové,SKIP
Šéf OSN,je ovšem i nadále velmi,SKIP
Zdeněk VACEK,designér šperků,M2
Marcel RAYNAUD,chovatel závodních býků,M2
Podle OSN,už před válkou uprchlo do,SKIP
David HACKENBERG,včelař místopředseda včelař,M2
Saša ŠTŘELCOVÁ,iniciativa,M5
Patrick MALONEY,demokratický kongresman rodinný přítel,M6
Ferdinand DUDENH FFER,automobilový expert,M5
Franziska WESSELOVÁ,organizátorka protestů,M5
Fred SPOOR,paleontolog,M3
Patrick MALONEY,demokratický kongresman přítel,M6
Gaelle DAHERON,vinařství,M5
Jim CLARK,horozelec,M2
González IŇÁRRITU,režisér,M2
Jan BLAHŮT,geomorfolog,M3
Dalia GRYBAUSKAITÉOVÁ,litevská prezidentka,M6
Sophie BACKSENOVÁ,stěžovatelka,M2
Stefano VIANELLO,restaurátor,M5
Soňa VALUCHOVÁ,odborná pracovnice institut,M5
Jiří HUML,provozní ředitel,M5
Milan DVOŘÁK,rusista,M3
Milan GRYNDLER,mykolog,M3
Galerie PLATO,osidluje nové prostory postupně,SKIP
Joe BIDEN,zvolený prezident,M6
Milan CAIS,výtvarník a hudebník,M2
Clive PALMER,stavitel,M5
Tim LANG,spoluautor studie,M3
Tomáš PFEILEF,portfolio manažer,M5
Chris COCKEL,manažel sběru semen,M5
Tomáš CZERNIN,nově zvolený,M6
Josef SEJÁK,enviromentální ekonom člen,M3
Josef PROCHÁZKA,podnikatel zemědělský hospodář,M5
Dave ZANIVONI,kapitán hasičské jednotky v okrese,M5
Michal JAKOUBEK,pěstitel,M2
Joquín ROA,paraguayský ministr pro národní bezpečnost,M6
Michael NEČAS,statik,M3
Michael PROVENCHER,evakuovaný z,M2
Ting JIN CHUA,pastýřka,M2
Jose HIDALDO,ochránce přírody,M5
Jiří MÍKA,organizátor petice,M5
Dany KOLSKÝ,kavárník a obchodník s kávou,M2
Milan POLEDNÍK,demograf,M3
Michal DOŠEK,oddělení výzkumu a vývoje,SKIP
Tomáš DANĚK,environmentalista,M5
Karel BŘEZINA,dispečer,M2
Ladislav TŘEŠTÍK,myslivec,M2
Mauricio MACRI,argeninský prezident,M6
Kamil PARUCH,hlavní řešitel projektu,M5
Šéf OSN,o dopadu pandemie,SKIP
Petr KORHON,obchodník,M2
Marek LAHODA,doktorský student fyzické geografie,M3
Vojtěch ADAM,tehdejší i současný jihomoravský lídr,M6
Tomáš RENDLA,správce stopy,M2
Tomáš MED,architekt,M2
Jacinda ARDERNOVÁ,novozélandská premiérka,M6
Vladimír JANATA,autor projektu statik,M5
Kromě USA,dohodu odmítají už jenom,SKIP
Arias CANETE,eurokomisař pro energetiku a ochranu,M6
Arnold SCHWARZENEGGER,bývalý kalifornský guvernér,M6
Audun SALTE,chovatel psů,M2
Peter KEREKES,režisér,M2
Melinda GATESOVÁ,manželka,M2
Petr BIRKLEN,environmentální expert,M5
Petr BROŽ,planetolog,M3
Vasilij ROGATYČ,škola námořní plavby,M2
Al SHARPTON,reverend aktivista poradce prezidenta,M6
Akgun ILHANOVÁ,hydroložka,M3
Petr BIRKLEN,enviromentální expert,M5
George DURNER,spoluautor studie publikované v časopise,M3
Uwe MARTH,včelař z berlínské katedrály,M2
Laetitia HEDOUINOVÁ,francouzské,SKIP
Mark FAHERTY,záchranná stanice ve,SKIP
Joseph CHRISTIAN,osoba,M1
Martin SIEGERT,pedagog,M6
Tomáš TUHÝ,policejní prezident,M2
Lukáš KUNST,kastelán hradu,M2
Lukáš KOVÁR,porybný,M2
Toni DOHERTYOVÁ,zachránkyně koaly,M3
Martina HÁJKOVÁ,spoluautorka výzkumu,M3
Martin HAVLÍČEK,veterinář žijící v,M2
Matyáš ŠANDA,autor projektu,M5
Pekarová ADAMOVÁ,nově zvolená předsedkyně strany poslankyně,M6
Jair BOLSONARO,brazílsky prezident,M6
Andy RIVKIN,planetární astronom,M3
Malu DREYEROVÁ,úřadující premiérka v,M6
Bernie SANDERS,uchazeč demokratů o prezid,M6
Marek SLÁMA,skladník,M2
Lolepo TETILE,honák,M2
Richard NETOPIL,lesní dělník,M2
Petr DIFKO,chovatel korýšů,M2
Sammie APLINOVÁ,zdravotní sestra,M2
Janet REDMANOVÁ,washingtonský,SKIP
Der LEYENOVÁ,budoucí šéfka,M6
Jan ŠVEJNAR,think tank,M5
Salik HARD,grónská turistická organizace,M5
Sally DAVIESOVÁ,šéfka státního zdravotního ústavu pro,M6
Roman KOBLÁSA,produktový manažer,M5
Deb MCLAUGHLINOVÁ,včelařka,M2
Rita UEDA,hudební skladatelka,M2
Monika HERTLOVÁ,projekt na čištění moře,M5
Jerry BROWN,kalifornský guvernér,M6
Konference OSN,o klimatu v polských,SKIP
Anthony COSTELLO,obor udržitelného rozvoje,M3
Penny SHARPEOVÁ,stínová ministryně životního prostředí,M6
Klaus IOHANNIS,rumunský prezident hostitel summitu,M6
Barbora LOSKOTOVÁ,hydrobioložka,M3
Vítězslav KREMLÍK,klimaskeptik,M4
Kreta KAINGANG,vůdce domorodého kmene v,M5
Igor GIRKIN STRELKOV,ruský nacionalista předák separatistů,M6
Valentin LEVKOVSKIJ,psovod,M2
Karel ŠÍMA,pošťák,M2
Henrique PERREIRA,obchodník z,M2
Peter BOORMAN,astrofyzik,M3
Viktorie TENZEROVÁ,organizátorka festivalu,M5
Pavel ŠAMONIL,dendrochronologická laboratoř,M3
Hillary CLINTONOVÁ,uchazečka demokratů o prezid,M6
Ivan RYNDA,sociální a kulturní ekolog katedra,M3
Ko BARRETOVÁ,spolupředsedkyně,M5
James KIMARU,strážce,M2
David BOREK,blízkovýchodní zpravodaj,M1
David HANSLIAN,autor studie,M3
David HANSLIAN,ústav fyziky atmosféry,M3
Schillerová ANO,plánuje že recidivu pachatelů omezí,SKIP
Samotné ČSSD,a samotní představitelé kteří tam,SKIP
Sibiu EU,chce demonstrovat jednotu a debatovat,SKIP
Shaun WEST,lincolnshirská policie,M6
Severovýchod USA,čeká přívaly sněhu,SKIP
Severovýchod USA,obecně vlastně severovýchodní polovina,SKIP
Dave BOOKSA,popelář,M2
Dav OK,ty například jsme přece je,SKIP
Sepp RIESER,pastevec,M2
David MICHALČÁK,pokrývač,M2
Schillerová ANO,a sociální demokracie v programovém,SKIP
Sebastián PINERA,chilský prezident,M6
Sergej ABANIN,ruské ministerstvo pro mimořádné události,M6
Schan SU ŤIJ,barmská státní poradkyně ministryně zahraničí,M6
Sea IS,dnes vlnění,SKIP
Sdružení SOVAK,zastupuje jak vlastníky tak provozovatele,M5
Scott LONG,krizové řídící centrum,M5
Senátoři STAN,se obrátili na,SKIP
David CAMERON,britský konzervativní premiér,M6
Sekretariát OSN,na moči provádí nemám pravomoci,SKIP
Roberto COSTABAL,kuchař,M2
Roger SORKIN,režisér dokumentu,M1
Role USA,v boji proti klimatickým změnám,SKIP
Divák KH,se ptá na webu,M2
Divák MD,ptá se za starých časů,M2
Divák MD,se ptá ještě na jedno,M2
Rolf DENSING,operační ředitel,M5
Roman DYMÁČEK,hlavní inženýr divize,M5
Rozpočet EU,pro příští rok,SKIP
Roman SPURNÝ,správce ledové plochy,M2
Rudolf KOVAŘÍK,pozorovatel,M1
Sergi GIRONA,provozní ředitel,M5
Rusko OSN,dá se vůbec nerespektuje,SKIP
Rusové IT,často prostě ze země odcházely,SKIP
Denisa ZBĚHLÍKOVÁ,chovatelka,M2
Dawood AHMADZAL,uprchlík z,M2
Deborah MASHIBINIOVÁ PRIOROVÁ,volička,M2
David SNIDER,kapitán ledoborce,M2
Sam MAXEY,nový vyznavač veganství,M2
Sadiq KHAN,labouristický starosta,M6
Sajed NOMAN,prodavač textilu,M2
Sakshi GADUROVÁ,indická dívka,M2
Saleemul HUQ,vyjednavač z,M6
Samotná CDU,a kancléřka také řeší svou,SKIP
Ruml OK,za informace,SKIP
Stefano BOERI,architekt staveb,M5
Stefano VIO,gondoliér a potápěč,M2
Daniel MAURICIO,starší kmene,M2
Daniel BAREŠ,agrometeorolog,M3
Daniel SZÓRÁD,odvolaný generální ředitel,M5
Daniel POŠTA,designér šperků,M2
Daniel SKÁLA,cimbálista,M2
Dalila JAKUPOVIČOVÁ,tenistka,M2
Dan BÁRTA,zpěvák a amatérský entomolog,M2
Dale STURROCK,bratr,M2
Dale VINCE,ekologická firma,M5
Rodrigo ROCHAS,ale také minul branku a,SKIP
Steve GREEM,projekt na čištění moře,M5
Summit OSN,o klimatických změnách,SKIP
Summit OSN,o změně klimatu,SKIP
Stream II,a překlenuje to hnědouhelnými elektrárnami,SKIP
Stutox II,a to na povrchu půdy,SKIP
Sven DEUBLER,německá civilní ochrana,M6
Svenja SCHULZEOVÁ,spolková náměstkyně ministryně životního prostředí,M6
Summit EU,a asijských zemí,SKIP
Summit EU,a britské volby,SKIP
Summit EU,se shodl na víceletém rozpočtu,SKIP
Tak ČSSD,samozřejmě to říká tady pan,SKIP
Steve FORREST,biológ,M3
Sie ČEN CHUA,hlavní čínský vyjednávač v oblasti,M6
Dave THOUP,britské ministerstvo životníh prostedí,M6
Sigurdur ERLINGSSON,správce parku,M5
Sileši BEKELE,etiopský ministr pro vodohospodářství a,M6
Sonya PEMBERTON,režisérka,M2
Skotka OK,palmový olej palmu palmu olejnou,SKIP
Skotská BBC,hledala moderátora pro dokument o,SKIP
Skupina PGE,chce v místě těžit až,M5
Skupiny ČEZ,pro severní,SKIP
Soudce US,řekl že soud se zabýval,SKIP
Sledování ČT,sport dobrý den,SKIP
Steve BRAY,odpůrce brexitu,M2
Snahou OSN,je proto přimět světové lídry,SKIP
Snahu OSN,proto přimět světové lídry aby,SKIP
Daniel VÍTEK,policejní mluvčí,M1
Spojence NATO,podporují,SKIP
Spojenci NATO,se připravují na dlouhodobé poskytování,SKIP
Společnost OKD,se loni odvolala,SKIP
Společnost ČEZ,uvolnila pro ukrajinské uprchlíky,SKIP
Správa OSN,počítá i s katastrofickým scénářem,SKIP
Stella PAPADIMITRIOSOVÁ,šéfka produkce vinice,M5
Starostka PECKOVÁ,jak mám jako starostka zařídit,M6
Stanislav JURÁNEK,tehdejší jihomoravský lídr strany,M6
Susan HARTYOVÁ,evakuovaná z,M2
Slovensko ČR,také právě proto že jsou,SKIP
Pokud ČSSD,ustoupí tak bude v té,SKIP
Polsko ČR,tady,SKIP
Poslankyně ODS,paní,M6
Poslední CDU CSU,doskočili sociální demokrati,SKIP
Pospíšila ANO ODS,o tom se hovořilo už,M6
Považoval NDR,za to lepší,SKIP
Eva BOGOEVSKÁ,houslistka ze,M2
Rada EU,plus předseda a potvrdit to,SKIP
První GSM,mobily,SKIP
Předal ČTÚ,je volant éry,SKIP
Předpověď MMF,o zpomalení ekonomiky,SKIP
Summit NATO,byl svolán spíše jako přípravný,SKIP
Radek PASTRŇÁK,zpěvák kytarista,M2
Radek SOUKUP,výzkumní,M5
Přes EIA,to nelze udělat to je,SKIP
Připomenu EU,má přes půl miliardy obyvatel,SKIP
Přišel COVID,samozřejmě pokles finančních prostředků do,SKIP
Evo MORALES,bolivijský prezident,M6
Eva PERNICOVÁ,lékařka,M3
Radek PASTRŇÁK,zpěvák a kytarista,M2
Emilia DE KAVALIJERIHO,je nejstarším podobným dílem a,SKIP
Elijah GICHURU,výzkum a patologie rostlin,M3
Eliška SÁČKOVÁ,pořadatelka členka hnutí,M5
Předseda KDU ČSL,a vicepremiér,M6
Podle ODS,by takový krok podpořil podnikání,SKIP
Podle OSN,byl minulý měsíc vůbec nejteplejším,SKIP
Podle OSN,extrémy způsobují v zasažených státech,SKIP
Podle OSN,je možné kritický nedostatek vláhy,SKIP
Falcon SCOTT,britský polárník poslední záznam v,M2
Evropa ČTK,získala rozvíjela tuto možnost technicky,SKIP
Experti OSN,odhadují že bychom dokonce v,M3
Eva VOJTOVÁ,scénáristka,M2
Eva ČAPKOVÁ,čtenářka,M2
Evan QUARTERMAIN,záchanář,M2
Evelin HERNANDEZOVÁ,svědkyně útoku,M2
Problémy OSN,na místě nevyřeší ale obrátí,SKIP
Fahri TUNC,fotograf aktivista,M5
Falci CDU,skončila druhá i přesto že,SKIP
Falcon SCOTT,britský polárník,M2
Počasí ČT,tam chodí hlavně fotografie kde,SKIP
Podle UNESCO,ohrožovaly stabilitu podloží,SKIP
Podle USA,je v,SKIP
Podle ČSSD,je totiž kvůli podfinancování v,SKIP
Poháru EHF,doma zdolali posílené,SKIP
Pojezný KSČM,a návrh státního rozpočtu s,M6
Pojezný KSČM,podporovala tuhle vládu,M6
Pokračujeme SPORTEM,dobrý den,SKIP
Pro ČEZ,i pro celé,SKIP
Pokud PS,pošle všechna jména prezident to,SKIP
Donald TUSK,odstupivší předseda,M6
Donald TUSK,stávající předseda,M6
Donna GUILLAMOTOVÁ,evakuovaná z,M2
Dopolední SPORT,je připraven dobrý den,SKIP
Dorjsuren ADIYA,družstvo,M2
Diváky ČT,bych pozval na scénu,SKIP
Dny NATO,nabízejí letos rekordní množství techniky,SKIP
Dita CHARANZOVÁ,zvolená místopředsedkyně,M6
Divák DAYD,se ptá jaká byla,SKIP
Do UNESCA,chce,SKIP
Dolu ČSM,je teď kolegyně,SKIP
Radim DRAGOUN,okresní státní zástupce,M6
Diváka ANTI,zajímá odpovíme jenom stručně pod,SKIP
Diváka SK,zajímá jaké problémy kvůli sněhu,SKIP
Richard BRABEC,vícepremiér ministr životního prostředí,M6
Do NHL,se podíval až ve,SKIP
Robert CAMPOVERDE,plukovník ekvádorské armády,M6
Richard STADLER,klient družstva,M2
Richard ZÁRUBA,statutární ředitel firmy,M5
Devin NUNES,republikánský kongresman,M6
Dimitris AVRAMOPULOS,eurokomisař pro vnitro,M6
Dirk JANSEN,německá federace pro ochranu přírody,M5
Denis GARBUTT,včelař,M2
Divák SK,ptá se jestli se může,SKIP
Energa SA,cest,SKIP
Radim TOLASZ,klimatolg,M3
Radek ČERNÝ,poškozený řidič z,M2
Erdenee BATZORIG,společnost pro ochranu životního prostředí,M5
Eric BROTHERTON,oběť záplav,M2
Eric TRUMP,syn prezidenta,M2
Erik BOLANOS,kostarický farmář,M2
Emmanuel MACRON,nezávislé hnutí,M6
Dárcovskými DMS,zprávami budou moci na konto,SKIP
Díky LNG,z celého světa,SKIP
Dorjusen ADIYA,družstvo,M5
Richard BORTIS,horský průvodce ve švýcarských,M2
Radě EU,takže ono to není úplně,SKIP
Ram PATEL,stoupenec indického premiéra,M2
Rami MIZRACHI,správce přístaviště u,M5
Randy HOLT,kapitán ponorky,M2
Ray MICHALKO,bývalý policista,M2
Ejasu KATHELO,pěstitel kávy,M2
Renata MATOUŠKOVÁ,staniční sestra,M2
Robert HABECK,spolupředseda,M6
Reportéři ČT,a ti využívají toho strachu,SKIP
Reportéři ČT,v tomto týdnu uvedli že,SKIP
Rašíd DŽAKAIL,syrský uprchlík a otec utonulého,M2
Reakce EU,na zvolení,SKIP
Rady EU,v druhé polovině příštího roku,SKIP
Babiš ČSSD,již vládnout,SKIP
Vladimír VALENTA,hlavní hygienik,M6
Vladimír WAGNER,jaderný fyzik,M3
Barack OBAMA,amererický prezident,M6
Barbora BARCALOVÁ,advokátka,M5
Antonín OSIČKA,zemědělské družstvo,M5
Vláda ODS,postupně slábne přichází zprávy o,SKIP
Arnold KING,bahamský meteorologický úřad,M5
Volker TREIER,německá průmyslová a obchodní komora,M5
Vratislav MYNÁŘ,kancelář prezidenta republiky,M6
Vsetína ORP,část a podobně nemají na,SKIP
Wan AZÁZAHOVÁ,malajsijská vicepremiérka,M6
Arsenij JACEŇUK,ukrajinský premiér,M6
Audi BMW,pro ty by to byla,SKIP
Augustin BERMEJO,lesní inženýr,M3
Arias CANETE,eurokomisař pro otázky klimatu,M6
Anna HUBÁČKOVÁ,navrhovaná ministryně životního prostředí nestr,M6
Anna JEVSTRATOVOVÁ,organizátorka,M5
Ann CARLSONOVÁ,právnička,M5
Annapaola LAVENOVÁ,kavárnice,M2
Ano ALDE,určitě může vstoupit do hry,SKIP
Ano NATO,je platformou důležitou platformou pro,SKIP
Václav HAVEL,bývalý česko slovenský prezident,M6
Babiše ODS,ji nepodpoří teď premiér jedná,SKIP
Bob KOPP,spoluautor zprávy,M5
Bohdan LOJKA,agrolesník,M2
Vaso DIMITRAKOPOLUOVÁ,postižená požárem,M2
Vaso VLACHOUOVÁ,protiamerická demonstrantka,M2
